Ubicación Origen,Ubicación Destino,Almacén,T. OP,Categoria,Codigo P.,Uni.,Producto,Fecha Alb.,Fecha,Periodo,Doc. Almacén,T. Doc.,Serie,Nro. Documento,Proveedor,Ingreso,Salida,Saldo F,C.A.,Debe,Haber,Saldo V.,CP,Cuenta factura,Cuenta producto,Cta. Analitica,LotePT,LoteMP,Pedido de Compra,Licitacion,Fecha Ingreso Lote,Plata
Partner Locations / Suppliers,Physical Locations / AQP M / Existencias,/ AQP M / Existencias,03,Mineral con Contenido Aurifero y Argentifero sin Procesar,M0001,t,MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,2018-12-01,2018-12-01,12/2018,AQP M\IN\04514,01,E001,0000345,INVERSIONES VALEDANA E.I.R.L.,9.533000,0,9.533000,462.4095248085597399,4408.15,0,4408.15,462.4095248085597399,602101 - Mineral Aurifero sin Procesar,241101 - Mineral Aurifero sin Procesar,,"",13918,18PO06455,,2018-12-01,
,,/ AQP M / Existencias,"",Mineral con Contenido Aurifero y Argentifero sin Procesar,"","",MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,,2018-12-07,12/2018,,08,E001,0000078,INVERSIONES VALEDANA E.I.R.L.,0,0,9.533000,610.8108675128500997,1414.71,0,5822.86,610.8108675128500997,602101,241101 - Mineral Aurifero sin Procesar,"",,13918,,,,f
Physical Locations / AQP M / Existencias,Ubicaciones virtuales / Produccion,/ AQP M / Existencias,07,Mineral con Contenido Aurifero y Argentifero sin Procesar,M0001,t,MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,2018-12-31,2018-12-31,,MAMC-004223,,,MAMC-004223,,0,9.533000,0.000000,610.8108675128500997,0,5822.8600000000000004401000,-0.0000000000000004401000,0,"",241101 - Mineral Aurifero sin Procesar,,"",13918,,,,
Ubicaciones virtuales / Produccion,Physical Locations / AMCAQ / Existencias,/ AMCAQ / Existencias,08,Mineral con Contenido Aurifero y Argentifero sin Procesar,M0001,t,MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,2018-12-31,2018-12-31,,PAMC004229,,,PAMC004229,,9.533000,0,9.533000,881.2311194639672716,8400.77626185,0,8400.77626185,881.2311194639672716,"",241101 - Mineral Aurifero sin Procesar,,"",13918,,,,
Partner Locations / Suppliers,Physical Locations / AQP M / Existencias,/ AQP M / Existencias,03,Mineral con Contenido Aurifero y Argentifero sin Procesar,M0001,t,MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,2018-12-02,2018-12-02,12/2018,AQP M\IN\04505,01,E001,0000379,APMINAC PULPERA CAYLLOMA,33.799000,0,33.799000,838.3632651853605136,28335.84,0,28335.84,838.3632651853605136,602101 - Mineral Aurifero sin Procesar,241101 - Mineral Aurifero sin Procesar,,"",13919,18PO06426,,2018-12-02,
,,/ AQP M / Existencias,"",Mineral con Contenido Aurifero y Argentifero sin Procesar,"","",MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,,2018-12-28,12/2018,,08,E001,0000128,APMINAC PULPERA CAYLLOMA,0,0,33.799000,947.8807065297789875,3701.58,0,32037.42,947.8807065297789875,602101,241101 - Mineral Aurifero sin Procesar,"",,13919,,,,f
Physical Locations / AQP M / Existencias,Ubicaciones virtuales / Produccion,/ AQP M / Existencias,07,Mineral con Contenido Aurifero y Argentifero sin Procesar,M0001,t,MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,2018-12-31,2018-12-31,,MAMC-004223,,,MAMC-004223,,0,33.799000,0.000000,947.8807065297789875,0,32037.4199999999999985125000,0.0000000000000014875000,0,"",241101 - Mineral Aurifero sin Procesar,,"",13919,,,,
Ubicaciones virtuales / Produccion,Physical Locations / AMCAQ / Existencias,/ AMCAQ / Existencias,08,Mineral con Contenido Aurifero y Argentifero sin Procesar,M0001,t,MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,2018-12-31,2018-12-31,,PAMC004229,,,PAMC004229,,33.799000,0,33.799000,1218.3008709337554366,41177.35113669,0,41177.35113669,1218.3008709337554366,"",241101 - Mineral Aurifero sin Procesar,,"",13919,,,,
Partner Locations / Suppliers,Physical Locations / AQP M / Existencias,/ AQP M / Existencias,03,Mineral con Contenido Aurifero y Argentifero sin Procesar,M0001,t,MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,2018-12-02,2018-12-02,12/2018,AQP M\IN\04505,01,E001,0000379,APMINAC PULPERA CAYLLOMA,25.016000,0,25.016000,804.2756635753118004,20119.76,0,20119.76,804.2756635753118004,602101 - Mineral Aurifero sin Procesar,241101 - Mineral Aurifero sin Procesar,,"",13920,18PO06426,,2018-12-02,
,,/ AQP M / Existencias,"",Mineral con Contenido Aurifero y Argentifero sin Procesar,"","",MINERAL AURIFERO Y ARGENTIFERO SIN PROCESAR,,2018-12-28,12/2018,,08,E001,0000129,APMINAC PULPERA CAYLLOMA,0,0,25.016000,977.9704988807163415,4345.15,0,24464.91,977.9704988807163415,602101,241101 - Mineral Aurifero sin Procesar,"",,13920,,,,f
